buy_brown,buy_light_blue,buy_pink,buy_orange,buy_red,buy_yellow,buy_green,buy_indigo,buy_stations,buy_utilities,max_development_level,unspendable_cash,n_games,wins,avg_props,avg_houses,avg_hotels,avg_turns,raw_win_rate,smoothed_win_rate
0,1,0,0,0,0,1,0,1,1,3,0,100,17,4.82,0.95,0.78,169.55,0.17,0.1737031439230929
0,1,0,0,0,0,1,0,1,1,3,50,87,29,8.64367816091954,1.1149425287356323,1.4942528735632183,173.6551724137931,0.3333333333333333,0.32868293599918214
0,1,0,0,0,0,1,1,0,0,3,0,100,36,9.11,2.47,1.95,114.44,0.36,0.35465552487547386
0,1,0,0,0,0,1,1,0,0,3,50,100,12,4.86,0.81,0.76,149.69,0.12,0.12608409630404532
0,1,0,0,0,0,1,1,0,0,3,100,100,26,6.09,0.84,1.19,126.83,0.26,0.2594174296373786
0,1,0,0,0,0,1,1,0,0,5,0,100,25,6.43,0.91,1.12,119.78,0.25,0.2498936201135691
0,1,0,0,0,0,1,1,0,0,5,50,100,20,6.28,0.81,1.38,139.61,0.2,0.2022745724945215
0,1,0,0,0,0,1,1,0,0,5,100,100,29,6.47,1.13,1.04,164.99,0.29,0.2879888582088072
0,1,0,0,0,0,1,1,0,1,3,0,100,31,9.11,1.74,1.57,138.79,0.31,0.30703647725642624
0,1,0,0,0,0,1,1,0,1,3,50,100,26,6.46,0.99,1.13,151.06,0.26,0.2594174296373786
0,1,0,0,0,0,1,1,0,1,3,100,100,28,7.38,1.16,1.47,125.94,0.28,0.27846504868499766
0,1,0,0,0,0,1,1,0,1,5,0,100,35,8.88,1.7,1.91,155.65,0.35,0.3451317153516643
0,1,0,0,0,0,1,1,0,1,5,50,100,31,8.84,1.98,1.56,130.03,0.31,0.30703647725642624
0,1,0,0,0,0,1,1,0,1,5,100,100,23,6.44,0.81,1.15,149.51,0.23,0.23084600106595005
0,1,0,0,0,0,1,1,1,0,3,0,100,25,6.58,0.92,1.11,159.33,0.25,0.2498936201135691
0,1,0,0,0,0,1,1,1,0,3,50,100,28,6.87,1.22,1.1,152.18,0.28,0.27846504868499766
0,1,0,0,0,0,1,1,1,0,3,100,100,27,6.02,0.58,1.04,142.46,0.27,0.2689412391611882
0,1,0,0,0,0,1,1,1,0,5,0,100,23,6.71,0.57,1.19,144.58,0.23,0.23084600106595005
0,1,0,0,0,0,1,1,1,0,5,50,100,20,5.08,0.52,0.82,123.15,0.2,0.2022745724945215
0,1,0,0,0,0,1,1,1,0,5,100,100,27,7.69,1.93,1.22,163.38,0.27,0.2689412391611882
0,1,0,0,0,0,1,1,1,1,3,0,100,20,6.13,0.78,0.97,158.05,0.2,0.2022745724945215
0,1,0,0,0,0,1,1,1,1,3,50,100,27,6.32,0.68,1.34,143.78,0.27,0.2689412391611882
0,1,0,0,0,0,1,1,1,1,3,100,100,28,7.01,1.13,1.06,150.44,0.28,0.27846504868499766
0,1,0,0,0,0,1,1,1,1,5,0,100,35,7.89,1.18,1.32,152.93,0.35,0.3451317153516643
0,1,0,0,0,0,1,1,1,1,5,50,100,20,5.3,1.4,0.75,121.89,0.2,0.2022745724945215
0,1,0,0,0,0,1,1,1,1,5,100,100,26,7.1,1.09,1.33,142.05,0.26,0.2594174296373786
0,1,0,0,0,1,0,0,0,0,3,0,100,29,7.1,1.0,1.14,164.28,0.29,0.2879888582088072
0,1,0,0,0,1,0,0,0,0,3,50,100,25,6.15,0.72,0.84,135.02,0.25,0.2498936201135691
0,1,0,0,0,1,0,0,0,0,3,100,100,18,5.62,1.14,1.09,142.54,0.18,0.18322695344690243
0,1,0,0,0,1,0,0,0,0,5,0,100,23,7.56,1.45,1.37,136.22,0.23,0.23084600106595005
0,1,0,0,0,1,0,0,0,0,5,50,100,25,6.77,1.22,1.11,149.0,0.25,0.2498936201135691
0,1,0,0,0,1,0,0,0,0,5,100,100,18,5.15,0.55,0.69,162.09,0.18,0.18322695344690243
0,1,0,0,0,1,0,0,0,1,3,0,100,27,6.33,0.67,1.0,165.04,0.27,0.2689412391611882
0,1,0,0,0,1,0,0,0,1,3,50,100,24,6.23,1.38,1.07,119.59,0.24,0.2403698105897596
0,1,0,0,0,1,0,0,0,1,3,100,100,31,7.63,1.26,1.43,142.22,0.31,0.30703647725642624
0,1,0,0,0,1,0,0,0,1,5,0,100,15,4.12,0.62,0.54,126.02,0.15,0.15465552487547388
0,1,0,0,0,1,0,0,0,1,5,50,100,22,6.92,1.21,1.47,138.8,0.22,0.22132219154214053
0,1,0,0,0,1,0,0,0,1,5,100,100,24,6.76,0.69,1.21,148.58,0.24,0.2403698105897596
0,1,0,0,0,1,0,0,1,0,3,0,100,23,7.23,0.84,1.34,126.08,0.23,0.23084600106595005
