buy_brown,buy_light_blue,buy_pink,buy_orange,buy_red,buy_yellow,buy_green,buy_indigo,buy_stations,buy_utilities,max_development_level,unspendable_cash,pred_avg_win_regressor,pred_game_win_prob_classifier
0,1,0,1,0,1,0,0,0,0,3,0,0.2486138705642117,0.2513834713064266
1,1,0,1,1,0,0,0,1,1,3,0,0.25924280131165883,0.251183369247297
0,1,1,1,0,1,0,0,0,0,3,0,0.24513921700964247,0.2509508258901189
0,1,1,1,1,0,0,0,1,0,5,0,0.2468291939078333,0.25067061089064047
0,1,1,1,0,1,0,1,0,0,3,0,0.24899197909179271,0.2505181086196341
1,0,0,1,1,0,1,0,1,1,5,100,0.27710834523055794,0.2504290001924205
0,1,0,1,1,1,1,1,0,1,3,100,0.24314208987468786,0.2503832918682055
1,0,0,0,0,0,1,0,0,0,3,100,0.2653656173323619,0.2503700888202921
1,0,0,0,0,0,1,0,1,0,3,100,0.28228935502573504,0.2503583944070347
0,1,1,1,0,0,0,1,1,0,5,0,0.24923568397839727,0.2502202458359946
1,0,0,0,0,1,1,0,1,0,3,100,0.2733232861567424,0.2501803299050402
0,1,1,1,0,0,0,0,0,0,3,0,0.23422520002640632,0.25016757281086255
0,1,0,0,1,1,1,1,0,1,5,100,0.23259326853533216,0.2501307068607822
0,1,1,1,1,0,0,1,1,0,5,0,0.2575679801579709,0.2500986726777127
1,0,0,0,0,1,1,0,0,0,3,100,0.26074059813215206,0.2500434073043548
0,1,1,0,0,0,0,1,1,0,3,0,0.23014777661855404,0.25003797347616563
0,1,1,1,0,0,0,1,1,0,3,0,0.227000076058526,0.25003482796159726
0,1,1,1,0,0,0,0,1,0,3,0,0.24582917390947853,0.25002270935657217
1,0,0,1,1,0,0,0,1,1,5,50,0.26888561324830856,0.2500190138028356
0,1,0,0,1,1,1,1,0,1,3,100,0.2491739430151928,0.25001792093578934
0,1,1,0,0,0,1,1,1,1,3,50,0.27103614620443395,0.2499954312098091
0,1,0,1,1,0,0,0,1,0,5,0,0.2333755574625329,0.24998490606718932
0,1,0,1,0,1,0,1,0,0,3,0,0.24496803867579162,0.24998473551836992
0,1,0,1,1,1,1,1,0,1,5,100,0.22168485195762355,0.24996643344075659
0,1,1,0,1,0,0,0,1,0,5,0,0.23211486361289674,0.24995266490452117
0,1,1,0,0,1,0,0,0,0,5,100,0.2176274576331274,0.24993526396023452
0,1,0,0,0,0,1,1,0,0,3,0,0.27296705526436577,0.24991475244073338
0,1,0,1,0,0,1,0,1,0,5,100,0.2403002130007691,0.2499104832115544
1,0,1,1,0,1,0,1,1,0,3,0,0.24644862604594545,0.24985644129713588
