Set,P(complete),P(win|complete),P(win|not),abs_win_gain
railroads,0.07319661458333333,0.775393578226452,0.033331694261609895,0.7420618839648422
lightblue,0.08272786458333334,0.7496458644841426,0.027943190932125796,0.7217026735520168
orange,0.0855859375,0.733359957401491,0.02721175616215985,0.7061482012393311
pink,0.08361490885416667,0.7279310143460572,0.02922595186376497,0.6987050624822922
red,0.08680501302083334,0.7122607016293852,0.028274698030716475,0.6839860035986687
yellow,0.08459798177083333,0.6883044423495007,0.03213773263184472,0.656166709717656
green,0.08278645833333333,0.6576557093425606,0.03619999432156952,0.6214557150209911
brown,0.10483561197916667,0.6364130350405987,0.02338046760935219,0.6130325674312465
indigo,0.10544270833333333,0.5753889849345517,0.030157418997991323,0.5452315659365604
utilities,0.1488427734375,0.45191308816936215,0.023948706475367672,0.4279643816939945
