buy_brown,buy_light_blue,buy_pink,buy_orange,buy_red,buy_yellow,buy_green,buy_indigo,buy_stations,buy_utilities,max_development_level,unspendable_cash,predicted_win_prob,owned_sets,rank,points
1,1,0,0,1,0,1,1,1,1,4,50.0,0.11791111461189097,"brown, light_blue, red, green, indigo, stations, utilities",1,1
1,1,1,1,1,0,0,1,0,1,4,50.0,0.11707404085825565,"brown, light_blue, pink, orange, red, indigo, utilities",2,2
1,1,0,1,1,1,1,1,1,1,4,50.0,0.11567401532631202,"brown, light_blue, orange, red, yellow, green, indigo, stations, utilities",3,3
1,1,0,0,1,1,1,1,0,1,4,50.0,0.11465322201555876,"brown, light_blue, red, yellow, green, indigo, utilities",4,4
1,1,0,1,0,0,0,1,0,0,4,50.0,0.11331213454529913,"brown, light_blue, orange, indigo",5,5
1,1,0,1,1,1,0,0,1,1,4,50.0,0.11319555116689126,"brown, light_blue, orange, red, yellow, stations, utilities",6,6
1,1,0,1,0,0,1,0,1,1,4,50.0,0.11277013104643134,"brown, light_blue, orange, green, stations, utilities",7,7
1,1,1,1,1,1,1,1,1,1,4,50.0,0.11260863806460455,"brown, light_blue, pink, orange, red, yellow, green, indigo, stations, utilities",8,8
1,1,0,1,0,0,1,1,1,1,4,50.0,0.11247874707451369,"brown, light_blue, orange, green, indigo, stations, utilities",9,9
1,0,0,1,0,1,1,1,1,1,4,50.0,0.11226706130282975,"brown, orange, yellow, green, indigo, stations, utilities",10,10
1,1,1,1,1,0,1,1,0,1,4,50.0,0.11205288924429195,"brown, light_blue, pink, orange, red, green, indigo, utilities",11,11
1,1,0,1,0,0,1,1,0,1,4,50.0,0.11192061900107786,"brown, light_blue, orange, green, indigo, utilities",12,12
1,1,0,0,1,1,0,1,1,1,4,50.0,0.11185663983787023,"brown, light_blue, red, yellow, indigo, stations, utilities",13,13
1,1,0,1,0,1,0,1,1,1,4,50.0,0.11180397168338962,"brown, light_blue, orange, yellow, indigo, stations, utilities",14,14
1,1,0,1,0,1,1,1,0,1,4,50.0,0.11166215847345418,"brown, light_blue, orange, yellow, green, indigo, utilities",15,15
1,1,1,0,1,1,0,1,1,1,4,50.0,0.11147070282910494,"brown, light_blue, pink, red, yellow, indigo, stations, utilities",16,16
1,1,0,1,0,0,0,1,1,1,4,50.0,0.11145826374687465,"brown, light_blue, orange, indigo, stations, utilities",17,17
1,1,0,1,0,0,1,1,1,0,4,50.0,0.11144972388274765,"brown, light_blue, orange, green, indigo, stations",18,18
1,1,0,1,1,1,0,1,1,1,4,50.0,0.11107546147249545,"brown, light_blue, orange, red, yellow, indigo, stations, utilities",19,19
1,1,1,1,1,1,0,1,1,1,4,50.0,0.11103133121764668,"brown, light_blue, pink, orange, red, yellow, indigo, stations, utilities",20,20
1,1,1,1,0,0,1,1,0,0,4,50.0,0.1108846774766842,"brown, light_blue, pink, orange, green, indigo",21,21
1,1,0,0,1,1,1,1,1,0,4,50.0,0.1108656129184528,"brown, light_blue, red, yellow, green, indigo, stations",22,22
1,1,0,1,0,1,0,1,0,0,4,50.0,0.11077754780987728,"brown, light_blue, orange, yellow, indigo",23,23
1,1,0,1,0,1,0,1,0,1,4,50.0,0.11070973516852611,"brown, light_blue, orange, yellow, indigo, utilities",24,24
1,1,0,0,1,1,0,1,0,1,4,50.0,0.11061321397423804,"brown, light_blue, red, yellow, indigo, utilities",25,25
1,1,0,1,0,0,1,1,0,0,4,50.0,0.11055286982265625,"brown, light_blue, orange, green, indigo",26,26
0,1,0,1,1,1,1,1,0,1,4,50.0,0.11049930618385943,"light_blue, orange, red, yellow, green, indigo, utilities",27,27
1,1,0,1,0,0,0,1,1,0,4,50.0,0.1103983057320181,"brown, light_blue, orange, indigo, stations",28,28
1,1,0,1,0,0,1,0,1,0,4,50.0,0.1103971085409016,"brown, light_blue, orange, green, stations",29,29
1,1,0,1,1,0,1,1,1,1,4,50.0,0.11036423738603067,"brown, light_blue, orange, red, green, indigo, stations, utilities",30,30
1,1,0,1,0,1,1,1,0,0,4,50.0,0.11035401879442738,"brown, light_blue, orange, yellow, green, indigo",31,31
1,1,0,1,0,1,1,0,1,1,4,50.0,0.11030412508404633,"brown, light_blue, orange, yellow, green, stations, utilities",32,32
1,1,0,1,1,1,1,1,1,0,4,50.0,0.11026990620077945,"brown, light_blue, orange, red, yellow, green, indigo, stations",33,33
1,1,0,1,0,0,0,1,0,1,4,50.0,0.11025608666172644,"brown, light_blue, orange, indigo, utilities",34,34
1,1,0,1,0,1,0,1,1,0,4,50.0,0.11018009141213318,"brown, light_blue, orange, yellow, indigo, stations",35,35
1,1,0,1,0,1,0,0,1,1,4,50.0,0.11014898285942454,"brown, light_blue, orange, yellow, stations, utilities",36,36
1,1,0,1,0,1,0,0,0,0,4,50.0,0.11012188793946676,"brown, light_blue, orange, yellow",37,37
1,1,0,0,1,1,1,1,0,0,4,50.0,0.11005690662916856,"brown, light_blue, red, yellow, green, indigo",38,38
0,1,0,0,1,1,0,1,0,1,4,50.0,0.10995384536963675,"light_blue, red, yellow, indigo, utilities",39,39
1,1,1,1,1,1,1,0,1,1,4,50.0,0.10983424738481533,"brown, light_blue, pink, orange, red, yellow, green, stations, utilities",40,40
1,1,0,0,1,1,1,1,1,1,4,50.0,0.10983157936017536,"brown, light_blue, red, yellow, green, indigo, stations, utilities",41,41
0,1,0,0,1,1,1,1,1,1,4,50.0,0.1097810516721224,"light_blue, red, yellow, green, indigo, stations, utilities",42,42
1,1,0,1,1,0,1,1,1,0,4,50.0,0.10975288811080175,"brown, light_blue, orange, red, green, indigo, stations",43,43
1,1,0,0,1,1,1,0,0,1,4,50.0,0.10969107191460799,"brown, light_blue, red, yellow, green, utilities",44,44
1,1,1,1,0,1,0,0,1,0,4,50.0,0.10967481466003855,"brown, light_blue, pink, orange, yellow, stations",45,45
1,1,0,1,1,1,0,0,1,0,4,50.0,0.10967023430618843,"brown, light_blue, orange, red, yellow, stations",46,46
1,1,0,0,1,1,1,0,1,1,4,50.0,0.10962214914085806,"brown, light_blue, red, yellow, green, stations, utilities",47,47
1,1,0,0,1,1,0,0,1,1,4,50.0,0.10955979449662126,"brown, light_blue, red, yellow, stations, utilities",48,48
1,1,0,0,1,1,0,0,1,0,4,50.0,0.1095342865235519,"brown, light_blue, red, yellow, stations",49,49
