buy_brown,buy_light_blue,buy_pink,buy_orange,buy_red,buy_yellow,buy_green,buy_indigo,buy_stations,buy_utilities,max_development_level,unspendable_cash,n_games,wins,avg_props,avg_houses,avg_hotels,avg_turns,raw_win_rate,smoothed_win_rate,predicted_win_rate
1,1,1,0,0,1,0,0,0,0,3,0,100,37,8.82,1.28,1.91,154.58,0.37,0.3641793343992834,0.28018191549833327
1,0,0,0,0,1,1,1,1,1,5,100,100,41,9.42,2.3,1.78,121.97,0.41,0.4022745724945215,0.2798577966165943
1,1,1,0,0,0,1,0,0,0,5,0,100,37,9.21,1.68,1.89,121.53,0.37,0.3641793343992834,0.2773780138358405
1,0,0,1,1,1,0,0,0,1,5,0,100,35,8.99,2.03,1.65,148.09,0.35,0.3451317153516643,0.27675461088867065
1,0,0,0,0,1,1,1,0,1,5,100,100,36,9.38,1.99,2.06,144.2,0.36,0.35465552487547386,0.276483049327565
1,0,1,0,0,0,1,1,0,1,3,0,100,32,7.27,1.14,1.42,120.25,0.32,0.3165602867802358,0.27643857422532025
1,0,1,0,0,1,0,0,0,0,3,0,100,32,8.08,1.63,1.77,140.49,0.32,0.3165602867802358,0.27611250965416434
1,1,1,0,0,1,1,0,0,0,5,0,100,33,8.88,1.68,1.75,156.76,0.33,0.3260840963040453,0.2751981326801175
1,0,0,1,0,1,0,0,0,1,5,0,100,33,7.86,1.72,1.25,137.04,0.33,0.3260840963040453,0.27495268307802645
0,1,0,0,0,0,1,1,0,1,5,0,100,35,8.88,1.7,1.91,155.65,0.35,0.3451317153516643,0.27468212740574166
1,0,0,1,1,0,0,0,1,1,5,0,100,32,8.67,1.76,1.54,152.73,0.32,0.3165602867802358,0.27409667836787543
1,0,1,0,0,1,0,0,1,0,3,0,100,34,8.61,1.63,1.7,143.34,0.34,0.3356079058278548,0.2740329987063367
0,1,1,1,1,1,0,0,1,0,3,0,100,29,7.92,1.76,1.71,125.47,0.29,0.2879888582088072,0.2735212760853442
0,1,1,0,1,1,0,0,0,0,3,0,100,32,7.51,1.02,1.31,175.98,0.32,0.3165602867802358,0.27348674553378166
1,0,1,1,1,1,0,0,1,1,5,0,100,31,7.5,1.14,1.32,148.47,0.31,0.30703647725642624,0.27308883277217133
1,1,0,1,1,1,1,1,1,1,3,100,100,36,9.14,1.48,1.85,145.8,0.36,0.35465552487547386,0.27294930961031744
1,1,1,0,0,0,1,1,0,1,3,0,100,36,8.35,1.06,1.45,144.84,0.36,0.35465552487547386,0.27274094305332114
1,0,0,1,1,0,0,0,0,1,5,0,100,28,7.12,1.08,1.18,180.01,0.28,0.27846504868499766,0.27262580610156356
1,0,0,1,0,1,1,1,1,1,5,100,100,32,7.65,1.21,1.4,134.98,0.32,0.3165602867802358,0.2723697034233604
0,1,1,0,0,1,0,0,1,0,3,0,100,35,8.43,1.44,1.71,137.83,0.35,0.3451317153516643,0.27226072189605494
1,0,1,1,1,1,0,0,1,0,5,0,100,34,8.98,1.53,2.03,149.08,0.34,0.3356079058278548,0.27221171946208433
0,1,1,1,1,1,0,0,1,0,3,50,100,31,8.59,1.18,1.71,144.91,0.31,0.30703647725642624,0.27199392265011985
1,0,0,1,1,1,1,1,1,1,5,100,100,21,5.12,0.64,0.85,125.4,0.21,0.211798382018331,0.27188610800503066
1,0,1,1,1,0,1,0,1,0,5,0,100,31,8.68,1.54,1.6,155.25,0.31,0.30703647725642624,0.2718005739388567
0,1,1,0,1,1,0,0,1,0,3,0,100,30,8.05,1.42,1.36,148.92,0.3,0.2975126677326167,0.2710686692918565
1,1,1,0,1,1,0,0,0,0,3,0,100,36,9.63,2.49,2.27,151.52,0.36,0.35465552487547386,0.2707865394771449
0,1,1,1,0,0,0,0,0,0,5,100,100,38,8.67,2.01,1.55,153.65,0.38,0.3737031439230929,0.2706470140417162
1,0,1,1,0,1,0,0,0,1,5,0,100,31,8.2,1.72,1.6,114.08,0.31,0.30703647725642624,0.2706457803821892
1,1,0,1,1,1,1,1,1,1,5,100,100,32,8.18,1.28,1.62,119.28,0.32,0.3165602867802358,0.27041821743100636
1,1,0,1,0,1,0,1,0,0,3,0,100,37,8.94,1.55,1.6,157.62,0.37,0.3641793343992834,0.2703477212255907
1,0,1,1,0,0,1,1,0,1,3,0,100,24,6.06,0.75,0.91,140.18,0.24,0.2403698105897596,0.2702733022817855
1,1,0,1,0,1,0,1,0,0,3,50,100,26,6.99,1.02,1.35,130.14,0.26,0.2594174296373786,0.2700617418143139
1,1,0,1,1,1,0,0,0,1,3,0,100,35,8.44,1.65,1.74,138.4,0.35,0.3451317153516643,0.26981989491532743
0,1,1,0,0,0,1,1,0,1,3,0,100,26,7.71,1.33,1.27,149.21,0.26,0.2594174296373786,0.2696666339752067
1,1,0,0,0,0,1,1,0,1,3,0,100,30,6.92,0.95,1.4,131.28,0.3,0.2975126677326167,0.26962214440398397
1,1,0,1,0,1,0,1,0,1,3,50,100,31,8.5,1.52,1.69,136.53,0.31,0.30703647725642624,0.26947633457082387
0,1,1,1,0,0,0,1,0,0,5,100,100,31,8.37,1.76,1.54,130.22,0.31,0.30703647725642624,0.26944516308668215
1,1,0,1,1,1,0,1,0,0,3,0,100,24,7.32,1.47,1.58,134.88,0.24,0.2403698105897596,0.2694283460892843
0,1,1,0,0,0,1,1,1,1,3,100,100,21,6.0,0.67,0.89,132.43,0.21,0.211798382018331,0.26933981467692936
1,0,1,1,1,0,0,0,1,1,5,0,100,37,9.32,2.05,2.36,118.43,0.37,0.3641793343992834,0.2693164353816391
1,0,0,1,0,1,1,0,0,1,3,0,100,30,8.18,1.45,1.5,126.52,0.3,0.2975126677326167,0.26922577921510993
1,0,0,1,1,0,1,0,1,0,5,0,100,34,8.25,1.37,1.7,159.75,0.34,0.3356079058278548,0.2691238945418732
1,1,1,0,0,0,1,0,0,0,3,0,100,26,7.63,1.49,1.71,171.12,0.26,0.2594174296373786,0.26899646863448196
1,0,1,0,0,0,0,1,0,1,3,100,100,34,9.3,2.09,2.22,130.15,0.34,0.3356079058278548,0.26887477156210116
0,1,1,0,0,0,1,0,0,0,5,0,100,21,7.16,1.06,1.37,150.84,0.21,0.211798382018331,0.26876468566413775
1,1,1,0,0,1,1,0,0,0,3,0,100,32,7.81,1.66,1.47,129.37,0.32,0.3165602867802358,0.268754908928335
0,1,0,0,1,0,0,1,1,0,5,100,100,31,8.73,2.02,1.84,138.08,0.31,0.30703647725642624,0.26865931840696594
1,1,0,1,1,1,1,0,1,1,3,100,100,28,7.61,1.94,1.53,134.27,0.28,0.27846504868499766,0.2685679071278694
1,1,0,0,1,1,1,0,1,1,5,100,100,30,7.61,1.19,1.47,144.44,0.3,0.2975126677326167,0.2685060918767932
1,1,0,1,1,1,1,1,0,0,3,0,100,29,7.31,1.32,1.41,138.28,0.29,0.2879888582088072,0.26842246342236387
1,1,0,1,1,1,1,1,0,0,5,0,100,34,7.88,1.28,1.3,128.76,0.34,0.3356079058278548,0.2683996864882851
1,0,0,1,1,1,1,0,0,1,3,0,100,34,7.83,1.68,1.49,138.95,0.34,0.3356079058278548,0.2683472992489017
0,1,1,0,1,0,1,0,0,0,5,0,100,29,7.55,1.14,1.3,161.2,0.29,0.2879888582088072,0.26817316555934034
1,1,0,0,0,0,1,1,0,1,5,0,100,27,6.89,0.98,1.28,133.83,0.27,0.2689412391611882,0.2680237842024525
0,1,0,0,1,0,0,0,0,1,5,100,100,31,7.55,1.6,1.43,140.49,0.31,0.30703647725642624,0.26789194432781666
0,1,1,1,1,1,0,1,1,0,3,0,100,31,8.15,0.85,1.37,153.83,0.31,0.30703647725642624,0.26787468592092856
1,0,1,0,0,1,0,0,1,0,3,50,100,27,6.74,0.46,1.49,124.9,0.27,0.2689412391611882,0.2678716884439137
1,0,1,1,0,1,0,0,1,1,3,0,100,27,7.82,1.61,1.46,166.77,0.27,0.2689412391611882,0.26786693561499086
1,0,1,1,0,1,0,0,1,1,5,0,100,32,8.74,1.68,1.62,143.55,0.32,0.3165602867802358,0.2678649686197541
0,1,0,0,1,0,0,0,1,1,5,100,100,27,7.5,1.27,1.43,126.3,0.27,0.2689412391611882,0.2676813587036393
1,1,0,0,1,1,1,0,1,1,3,100,100,33,7.82,1.52,1.53,140.37,0.33,0.3260840963040453,0.26761267733168004
1,0,1,1,1,0,1,0,0,0,5,0,100,31,6.48,0.6,1.0,150.33,0.31,0.30703647725642624,0.26761180812705276
1,1,0,1,0,1,0,1,1,0,3,100,100,30,9.22,1.2,1.52,161.18,0.3,0.2975126677326167,0.267606557875442
0,1,1,1,0,1,0,0,1,0,3,0,100,33,9.07,1.6,2.01,181.18,0.33,0.3260840963040453,0.26760038080816534
1,1,0,1,0,1,0,1,0,1,3,0,100,28,7.67,1.63,1.67,154.17,0.28,0.27846504868499766,0.2673526545607108
0,1,1,1,0,0,1,1,0,1,3,0,100,29,7.88,1.43,1.61,148.15,0.29,0.2879888582088072,0.2673277883552433
1,1,0,1,1,0,0,1,1,0,5,50,100,32,7.39,1.47,1.58,160.76,0.32,0.3165602867802358,0.267278252766923
0,1,1,1,0,0,1,0,0,1,3,0,100,34,7.37,0.76,1.1,160.19,0.34,0.3356079058278548,0.26722509877115114
0,1,1,1,0,0,1,1,0,1,5,0,100,30,8.55,2.23,1.9,119.1,0.3,0.2975126677326167,0.26702261202466226
0,1,1,1,1,1,0,1,1,0,5,0,100,28,7.69,1.3,1.27,168.6,0.28,0.27846504868499766,0.2669930269889155
0,1,1,1,1,1,0,0,1,1,3,50,100,38,8.96,1.86,1.84,145.9,0.38,0.3737031439230929,0.2669825744165616
0,1,0,0,1,0,0,1,0,0,5,100,100,23,6.9,0.98,1.17,165.73,0.23,0.23084600106595005,0.26694818790304925
0,1,1,0,0,1,1,0,0,0,5,0,100,36,8.51,1.24,1.68,136.6,0.36,0.35465552487547386,0.26691077062103935
1,0,0,0,0,1,1,1,0,1,5,50,100,29,6.88,0.89,1.37,121.52,0.29,0.2879888582088072,0.26689892569867474
0,1,1,0,0,0,1,0,0,1,3,0,100,29,8.01,1.23,1.55,137.93,0.29,0.2879888582088072,0.2668893226105573
1,1,0,0,0,1,1,1,0,1,5,0,100,26,7.31,1.17,1.32,163.47,0.26,0.2594174296373786,0.26685448112413185
1,1,0,1,0,1,0,1,0,0,3,100,100,28,6.69,1.08,0.85,186.89,0.28,0.27846504868499766,0.2668118056768051
0,1,1,1,1,1,0,0,1,1,3,0,100,23,6.37,1.71,0.97,111.64,0.23,0.23084600106595005,0.26679905190492703
1,0,1,0,0,0,1,1,0,1,5,0,100,28,8.08,1.85,1.52,140.37,0.28,0.27846504868499766,0.2667647088868666
0,1,0,0,1,0,0,1,1,1,5,100,100,35,8.7,1.09,1.67,176.65,0.35,0.3451317153516643,0.2666827439935053
1,0,0,1,0,0,1,0,1,1,3,0,100,29,7.72,1.05,1.55,131.57,0.29,0.2879888582088072,0.2666727645165107
1,0,1,0,0,1,0,0,0,0,3,50,100,27,8.05,1.09,1.48,165.87,0.27,0.2689412391611882,0.2666477187080646
0,1,0,1,1,1,1,0,1,1,3,50,100,34,7.51,0.64,1.36,162.6,0.34,0.3356079058278548,0.26662299222532365
1,0,0,1,1,1,1,0,1,1,3,0,100,30,7.52,1.71,1.23,148.41,0.3,0.2975126677326167,0.2665874167816346
1,0,1,1,1,1,0,0,0,1,5,0,100,27,6.34,1.12,1.17,135.67,0.27,0.2689412391611882,0.2665100742911707
0,1,0,1,1,1,1,1,1,1,5,50,100,35,9.99,2.41,2.15,126.88,0.35,0.3451317153516643,0.2664821292827649
1,1,0,0,1,0,0,1,1,0,5,50,100,36,9.06,1.73,2.34,122.44,0.36,0.35465552487547386,0.2664419415461112
1,1,0,0,1,0,0,1,1,0,5,100,100,28,7.02,1.38,1.25,166.13,0.28,0.27846504868499766,0.26636870834308657
1,1,0,0,0,1,1,0,0,0,5,0,100,33,7.13,0.91,1.37,152.49,0.33,0.3260840963040453,0.26633181261069927
1,0,1,1,0,1,1,0,0,1,3,0,100,29,6.78,0.77,1.15,132.74,0.29,0.2879888582088072,0.26631287888882954
1,0,1,1,1,1,0,1,1,0,5,0,100,31,8.19,1.12,1.27,165.52,0.31,0.30703647725642624,0.2662653009078394
0,1,1,1,0,0,1,0,1,1,3,0,100,29,8.05,1.83,1.32,156.3,0.29,0.2879888582088072,0.26625848008025044
0,1,0,1,0,0,0,1,0,0,5,100,100,29,7.88,1.03,1.51,118.19,0.29,0.2879888582088072,0.26625612264046367
1,0,1,0,0,0,1,1,0,1,3,100,100,27,6.94,1.38,1.51,138.28,0.27,0.2689412391611882,0.2661196911536699
1,1,1,0,0,1,0,0,1,0,3,0,100,25,7.29,0.65,1.05,157.36,0.25,0.2498936201135691,0.26610910113375325
0,1,0,0,1,0,0,1,0,0,3,100,100,34,8.37,1.33,1.47,172.11,0.34,0.3356079058278548,0.26603354774923266
