buy_brown,buy_light_blue,buy_pink,buy_orange,buy_red,buy_yellow,buy_green,buy_indigo,buy_stations,buy_utilities,max_development_level,unspendable_cash,n_games,actual_win_rate,avg_predicted_win_prob,roi,props,houses,hotels,turns
True,True,False,False,True,False,False,True,True,True,3,50,100,0.36,0.43431994430166704,4.220593333333333,9.24,1.76,2.01,138.74
True,False,False,True,False,False,True,False,True,False,5,50,100,0.33,0.4259269473839936,3.32714,8.75,1.36,1.75,137.23
True,False,False,False,False,True,True,True,True,True,5,100,100,0.41,0.41857566807843255,4.15594,9.42,2.3,1.78,121.97
True,False,False,False,False,True,True,True,False,True,5,100,100,0.36,0.4180493329001934,3.5527866666666665,9.38,1.99,2.06,144.2
False,True,True,True,True,True,False,False,True,True,3,50,100,0.38,0.41170666661425526,4.701273333333334,8.96,1.86,1.84,145.9
True,True,False,True,False,True,False,True,False,False,3,0,100,0.37,0.40674374981492817,4.033686666666666,8.94,1.55,1.6,157.62
True,False,True,True,False,True,True,False,True,True,5,100,100,0.39,0.4041187858150979,3.905453333333333,9.11,1.17,1.92,128.57
True,False,True,True,True,False,False,False,True,True,5,0,100,0.37,0.4006856298023183,3.2008866666666664,9.32,2.05,2.36,118.43
True,False,False,True,True,False,False,False,True,True,5,50,100,0.4,0.40040629380197046,4.461526666666667,9.75,2.01,2.13,149.56
False,True,True,False,False,True,True,False,False,False,5,0,100,0.36,0.3985666242777954,3.7578133333333334,8.51,1.24,1.68,136.6
False,True,True,True,True,True,False,True,True,True,3,0,100,0.37,0.3912552181241564,4.416013333333334,8.19,1.74,1.33,136.18
False,True,False,False,False,False,True,True,True,True,5,0,100,0.35,0.39038261984884737,4.228506666666666,7.89,1.18,1.32,152.93
False,True,True,False,False,True,False,False,True,False,3,50,100,0.33,0.38836626474546665,3.5651333333333333,8.08,1.45,1.66,140.74
False,True,True,False,True,False,True,True,True,False,5,50,100,0.36,0.38655506701030456,3.9148199999999997,8.56,1.39,1.61,151.99
True,True,False,False,False,True,True,True,False,True,3,0,100,0.36,0.3862999845027301,3.9190733333333334,7.73,1.16,1.59,148.79
