buy_orange,buy_light_blue,buy_stations,buy_utilities,max_development_level,unspendable_cash,trade_max_diff_absolute,roi,win,props,houses,hotels,turns
True,True,True,True,3,0,0,0.0,0,0,0,0,50
True,True,True,True,3,0,0,8.399333333333333,1,9,0,0,201
True,True,True,True,3,0,0,0.0,0,0,0,0,52
True,True,True,True,3,0,0,5.696666666666666,0,6,0,0,297
True,True,True,True,3,0,0,7.616666666666666,1,27,24,0,60
True,True,True,True,3,0,100,10.517333333333333,0,7,0,0,463
True,True,True,True,3,0,100,10.702,0,7,0,0,763
True,True,True,True,3,0,100,0.0,0,0,0,0,64
True,True,True,True,3,0,100,4.303333333333334,0,5,0,0,555
True,True,True,True,3,0,100,0.0,0,0,0,0,68
True,True,True,True,3,0,200,0.0,0,0,0,0,57
True,True,True,True,3,0,200,0.0,0,0,0,0,77
True,True,True,True,3,0,200,4.133333333333334,0,5,0,0,165
True,True,True,True,3,0,200,68.70733333333334,1,9,0,0,921
True,True,True,True,3,0,200,9.766666666666667,1,28,12,0,99
True,True,True,True,3,100,0,11.311333333333334,1,28,9,0,172
True,True,True,True,3,100,0,0.0,0,0,0,0,63
True,True,True,True,3,100,0,0.0,0,0,0,0,37
True,True,True,True,3,100,0,0.0,0,0,0,0,50
True,True,True,True,3,100,0,0.0,0,0,0,0,43
True,True,True,True,3,100,100,0.0,0,0,0,0,52
True,True,True,True,3,100,100,0.0,0,0,0,0,63
True,True,True,True,3,100,100,0.0,0,0,0,0,76
True,True,True,True,3,100,100,0.0,0,0,0,0,57
True,True,True,True,3,100,100,0.0,0,0,0,0,75
True,True,True,True,3,100,200,4.766,0,8,0,0,198
True,True,True,True,3,100,200,0.0,0,0,0,0,106
True,True,True,True,3,100,200,0.0,0,0,0,0,62
True,True,True,True,3,100,200,5.09,1,7,0,0,156
True,True,True,True,3,100,200,0.0,0,0,0,0,75
True,True,True,True,3,200,0,0.0,0,0,0,0,122
True,True,True,True,3,200,0,10.427333333333333,1,28,24,0,87
True,True,True,True,3,200,0,58.345333333333336,1,6,9,0,1000
True,True,True,True,3,200,0,0.0,0,0,0,0,68
True,True,True,True,3,200,0,0.0,0,0,0,0,71
True,True,True,True,3,200,100,0.0,0,0,0,0,94
